Meal ID,Name,Meal Type,Cuisine,Calories (kcal),Protein (g),Carbs (g),Fat (g),Protein Family,Carb Level,Format,Effort,Goal Fit,Parts,Components
"breakfast_scrambled-eggs-toast","Scrambled eggs + toast","breakfast","global","284","22.54","12.53","15.2","vegetarian","low","toast","low","low_carb","3piece egg_whole + 1slice whole_wheat_toast","Eggs (whole) / Whole wheat toast / "
"breakfast_boiled-eggs-ham-sandwich","Boiled eggs + ham sandwich","breakfast","global","393","30.94","24.43","18.25","red_meat","medium","sandwich","low","low_carb","3piece egg_whole + 1slice ham_slice + 2slice whole_wheat_toast","Eggs (whole) / Whole wheat toast / "
"breakfast_smoked-salmon-avocado-on-toast","Smoked salmon + avocado on toast","breakfast","global","285","31.14","13.61","11.08","fish","low","toast","low","low_carb","150g smoked_salmon + 0.5piece avocado + 1slice whole_wheat_toast","Smoked salmon / Whole wheat toast / "
"breakfast_greek-yogurt-berry-bowl","Greek yogurt + berry bowl","breakfast","global","203","20.7","22","4.1","vegetarian","medium","bowl","low","low_carb","200g greek_yogurt + 100g berry_mix"," / No carb / "
"breakfast_poha-kabab-protein-shake","Poha + kabab/protein shake","breakfast","global","345","37","38","5.1","chicken","medium","plate","low","","100g chicken_breast + 100g poha","Chicken breast / Poha / "
"breakfast_egg-white-omelette-avocado","Egg white omelette + avocado","breakfast","global","190","21.97","5.05","8.79","vegetarian","low","plate","medium","low_carb","4piece egg_white + 1piece egg_whole + 0.5piece avocado + 50g mixed_salad","Eggs (whole) / No carb / Mixed salad"
"breakfast_carrot-halwa-sugar-free-protein-shake","Carrot halwa (sugar-free) + protein shake","breakfast","global","220","27.99","17","4.51","vegetarian","low","plate","low","low_carb","1piece protein_shake + 100g mixed_veg_sabzi"," / No carb / "
"breakfast_aloo-paratha-curd","Aloo paratha + curd","breakfast","global","685","19.1","95.9","24.9","vegetarian","high","plate","high","","2piece aloo_paratha + 100g curd","Paneer / Jowar roti (millet) / "
"breakfast_idli-mysore-masala-dosa-sambar-chutney","Idli, Mysore masala dosa + sambar + chutney","breakfast","global","624","19.2","96.4","16.4","vegetarian","high","plate","low","","2piece idli + 1piece masala_dosa + 100g arhar_dal"," / Cooked rice / Mixed veg sabzi"
"lunch_dinner_chicken-curry-jowar-roti","Chicken curry + jowar roti","lunch_dinner","indian","702","55.86","67.5","20.46","chicken","high","curry","high","high_protein, two_meals","150g chicken_breast + 2piece jowar_roti + 50g curry_base + 100g mixed_veg_sabzi","Chicken breast / Jowar roti (millet) / Mixed veg sabzi"
